,FNR,FPR,AUTOMATED,REJECT_TRUE,threshold_for_10_model,threshold__for_3_model
272,2.78,15.89,79.94,79.79,0.016644295302013425,0.8206040268456376
273,2.78,15.89,79.94,79.79,0.016644295302013425,0.827248322147651
274,2.78,15.89,79.94,79.79,0.016644295302013425,0.8338926174496644
275,2.78,15.89,79.94,79.79,0.016644295302013425,0.8405369127516779
276,2.78,15.89,79.94,79.79,0.016644295302013425,0.8471812080536912
277,2.78,15.89,79.94,79.79,0.016644295302013425,0.8538255033557047
278,2.78,15.89,79.94,79.79,0.016644295302013425,0.8604697986577181
279,2.78,15.89,79.94,79.79,0.016644295302013425,0.8671140939597315
280,2.78,15.89,79.94,79.79,0.016644295302013425,0.873758389261745
281,2.78,15.89,79.94,79.79,0.016644295302013425,0.8804026845637584
282,2.78,15.89,79.94,79.79,0.016644295302013425,0.8870469798657719
283,2.78,15.89,79.94,79.79,0.016644295302013425,0.8936912751677852
284,2.78,15.89,79.94,79.79,0.016644295302013425,0.9003355704697986
285,2.78,15.89,79.94,79.79,0.016644295302013425,0.9069798657718121
286,2.78,15.89,79.94,79.79,0.016644295302013425,0.9136241610738255
287,2.78,15.89,79.94,79.79,0.016644295302013425,0.9202684563758389
288,2.78,15.89,79.94,79.79,0.016644295302013425,0.9269127516778524
289,2.78,15.89,79.94,79.79,0.016644295302013425,0.9335570469798657
290,2.78,15.89,79.94,79.79,0.016644295302013425,0.9402013422818791
291,2.78,15.89,79.94,79.79,0.016644295302013425,0.9468456375838926
292,2.78,15.89,79.94,79.79,0.016644295302013425,0.953489932885906
293,2.78,15.89,79.94,79.79,0.016644295302013425,0.9601342281879195
294,2.78,15.89,79.94,79.79,0.016644295302013425,0.9667785234899329
295,2.78,15.89,79.94,79.79,0.016644295302013425,0.9734228187919463
296,2.78,15.89,79.94,79.79,0.016644295302013425,0.9800671140939597
297,2.78,15.89,79.94,79.79,0.016644295302013425,0.9867114093959731
298,2.78,15.89,79.94,79.79,0.016644295302013425,0.9933557046979866
299,2.78,15.89,79.94,79.79,0.016644295302013425,1.0
300,3.17,17.84,78.1,77.94,0.023288590604026847,0.01
301,3.41,16.42,79.46,79.29,0.023288590604026847,0.016644295302013425
